Roter Stein, digitale Schublehre	Gelber Stein, digitale Schublehre	Roter Stein, analoge Schublehre	Gelber Stein, analoge Schublehre
63.7	63.7	63.3	63.2
63.7	63.7	63.75	63.75
63.6	63.7	63.6	63.65
63.6	63.7	63.6	63.75
63.5	63.7	63.6	63.7
63.5	63.5	61.5	61.3
63.6	63.7	63.55	63.65
63.7	61.5	61.5	61.5
63.6	63.6	63.65	63.6
63.7	63.7	63.7	63.7
63.4	63.5	63.65	63.7
63.6	63.6	63.7	63.7
63.7	63.6	63.8	63.8
63.5	63.5	61.5	61.5
63.6	63.5	63.7	63.7
63.6	63.6	63.8	63.2
63.7	63.7	63.6	63.6
63.7	63.7	63.75	63.75
63.5	63.6	63.35	63.6
63.5	63.6	63.6	63.6
63.6	63.6	63.8	63.8
